0ad a23.1-10
libmad 0.15.1b-9
libmatroska 1.5.2-2
libmbim 1.22.0-1
libmfx 20.1.1-1
libmicrohttpd 0.9.70-3
libmikmod 3.3.11.1-4
libmm-glib 1.12.10-1
libmms 0.6.4-3
libmng 2.0.3-3
libmnl 1.0.4-3
libmodplug 0.8.9.0-3
libmpc 1.1.0-2
libmpcdec 1:0.1+r475-3
libmpeg2 0.5.1-7
libmspub 0.1.4-7
libmtp 1.1.17-1
libmusicbrainz5 5.1.0-4
libmwaw 0.3.16-1
libmypaint 1.5.1-2
libmythes 1:1.2.4-4
libndp 1.7-2
libnet 1:1.1.6-1
libnetfilter_conntrack 1.0.8-1
libnewt 0.52.21-3
libnfnetlink 1.0.1-4
libnftnl 1.1.6-1
libnghttp2 1.40.0-1
libnice 0.1.17-1
libnl 3.5.0-2
libnm 1.24.2-1
libnm-glib 1.18.5dev+12+ga8746f48ca-1
libnma 1.8.28-1
libnotify 0.7.9-1
libnsl 1.2.0-2
libnumbertext 1.0.6-1
libodfgen 0.1.7-2
libofa 0.9.3-9
libogg 1.3.4-2
libomxil-bellagio 0.9.3-3
liborcus 0.15.4-1
libp11-kit 0.23.20-5
libpagemaker 0.0.4-2
libpaper 1.1.28-1
libpcap 1.9.1-2
libpciaccess 0.16-2
libpeas 1.26.0-1
libpgm 5.2.122-5
libpipeline 1.5.2-1
libplacebo 1.29.1-3
libplist 2.1.0-3
libpng 1.6.37-2
libpng12 1.2.59-2
libproxy 0.4.15+33+g454a499-1
libpsl 0.21.0-2
libpulse 13.0-3
libpurple 2.13.0-10
libpwquality 1.4.2-3
libqmi 1.24.14-1
libquvi 0.9.4-6
libquvi-scripts 0.9.20131130-5
libqxp 0.0.2-4
libraqm 0.7.0-2
libraw 0.19.5-3
libraw1394 2.1.2-3
libreoffice-fresh 6.4.4-1
librevenge 0.0.4-3
librsvg 2:2.48.7-1
librtmp0 2.4-5
libsamplerate 0.1.9-3
libsasl 2.1.27-3
libseccomp 2.4.2-1
libsecret 0.20.3-1
libshout 1:2.4.3-3
libsidplay 1.36.59-10
libsigc++ 2.10.3-1
libsigsegv 2.12-2
libsm 1.2.3-2
libsndfile 1.0.28-3
libsodium 1.0.18-1
libsoup 2.70.0-1
libsoxr 0.1.3-2
libspectre 0.2.9-1
libspiro 1:20200505-1
libsrtp 1:2.3.0-1
libssh 0.9.4-1
libssh2 1.9.0-2
libstaroffice 0.0.7-1
libstemmer 0+713-2
libsynctex 2019.51075-10
libtar 1.2.20-5
libtasn1 4.16.0-1
libteam 1.30-1
libthai 0.1.28-2
libtheora 1.1.1-5
libtiff 4.1.0-2
libtiff4 3.9.7-4
libtiger 0.3.4-6
libtirpc 1.2.6-1
libtommath 1.2.0-3
libtool 2.4.6+42+gb88cebd5-13
libtorrent-rasterbar 1:1.2.6-1
libudev0-shim 1-3
libuninameslist 20200413-1
libunistring 0.9.10-2
libunwind 1.3.1-2
libupnp 1.6.25-2
libusb 1.0.23-2
libusb-compat 0.1.7-1
libusbmuxd 2.0.1-1
libutempter 1.2.0-1
libutf8proc 2.4.0-1
libutil-linux 2.35.2-1.1
libuv 1.38.0-1
libva 2.7.1-1
libva-mesa-driver 20.0.7-3
libva-vdpau-driver 0.7.4-4
libvdpau 1.4-1
libvisio 0.1.7-3
libvisual 0.4.0-8
libvoikko 4.3-2
libvorbis 1.3.6-2
libvpx 1.8.2-2
libvpx1.3 1.3.0-2
libwacom 1.3-1
libwebp 1.1.0-1
libwmf 0.2.12-2
libwpd 0.10.3-2
libwpe 1.6.0-1
libwpg 0.3.3-2
libwps 0.4.11-1
libwrap 7.6.28-1
libx11 1.6.9-7
libx86emu 3.1-1
libxau 1.0.9-3
libxaw 1.0.13-3
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcursor 1.2.0-2
libxdamage 1.1.5-3
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 5.0.3-4
libxfont2 2.0.4-3
libxft 2.3.3-2
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 0.10.0-1
libxkbcommon-x11 0.10.0-1
libxkbfile 1.1.0-2
libxklavier 5.4-3
libxml2 2.9.10-2
libxmu 1.1.3-2
libxp 1.0.3-4
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.34-3
libxss 1.2.3-3
libxt 1.2.0-2
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libzip 1.6.1-2
libzmf 0.0.2-8
licenses 20200427-1
lightdm 1:1.30.0-3
lightdm-settings 1.3.3-1
lightdm-slick-greeter 1.3.2-1
lilv 0.24.8-1
linux-api-headers 5.6.11-1
linux-firmware 20200519.8ba6fa6-1
linux54 5.4.44-1
linux54-headers 5.4.44-1
linux56-headers 5.6.16-1
lirc 1:0.10.1-6
llvm-libs 10.0.0-2
lm_sensors 3.6.0-2
lmdb 0.9.25-1
logrotate 3.16.0-1
lpsolve 5.5.2.5-4
lsb-release 1.4-13
lsof 4.93.2-3
lua 5.3.5-3
lua51 5.1.5-9
lua52 5.2.4-5
lua52-bitop 1.0.2-9
lua52-expat 1.3.0-4
lua52-lpeg 1.0.2-2
lua52-luajson 1.3.4-3
lua52-socket 20190219-1
luajit 2.0.5-3
lutris 0.5.6-2
lutris-wine-meta 2.1.0-1
lv2 1.18.0-1
lvm2 2.02.187-3
lxmenu-data 0.1.5-2
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.49-1
make 4.3-3
maltego 4.2.9.12898-1
man-db 2.9.2-1
man-pages 5.06-2
manjaro-alsa 20200126-1
manjaro-application-utility 1.3.2-2
manjaro-arm-qemu-static 1.1.0-2
manjaro-base-skel 20171029-3
manjaro-browser-settings 20200124-1
manjaro-cinnamon-settings 20200604-1
manjaro-documentation-en 20181009-1
manjaro-firmware 20160419-1
manjaro-hello 0.6.5-11
manjaro-hotfixes 2018.08-6
manjaro-icons 20191015-1
manjaro-keyring 20200603-1
manjaro-printer 20200215-2
manjaro-pulse 20200126-1
manjaro-release 20.0.3-1
manjaro-settings-manager 0.5.6-9
manjaro-settings-manager-notifier 0.5.6-9
manjaro-system 20200427-1
manjaro-zsh-config 0.11-1
mariadb-libs 10.4.13-1
masterpdfeditor-free 4.3.89-1
mathjax2 2.7.8-1
md4c 0.4.4-1
mdadm 4.1-2
media-player-info 24-2
meld 3.20.2-1
memtest86+ 5.01-4
menu-cache 1.1.0-2
mesa 20.0.7-3
mesa-demos 8.4.0-4
mesa-vdpau 20.0.7-3
meson 0.54.2-1
metasploit 5.0.88-1
metis 5.1.0.p8-1
mhwd 0.6.4-2
mhwd-amdgpu 19.1.0-1
mhwd-ati 19.1.0-1
mhwd-db 0.6.4-10
mhwd-nvidia-340xx 340.108-1
mhwd-nvidia-390xx 390.132-1
mhwd-nvidia-418xx 418.113-1
mhwd-nvidia-430xx 430.64-1.0
mhwd-nvidia-435xx 435.21-1.0
mhwd-nvidia-440xx 440.82-1
microsoft-office-web-jak 1:2.1.0-2
mingw-w64-binutils 2.34-1
mingw-w64-crt 7.0.0-1
mingw-w64-gcc 9.3.0-1
mingw-w64-headers 7.0.0-1
mingw-w64-winpthreads 7.0.0-1
miniupnpc 2.1.20190408-1
minizip 1:1.2.11-4
mint-themes 1:1.8.3-1
mjpegtools 2.1.0-5
mkinitcpio 27-3
mkinitcpio-busybox 1.31.1-1
mkinitcpio-openswap 0.1.0-3
mobile-broadband-provider-info 20190618-2
modemmanager 1.12.10-1
mono 6.4.0.198-2
mousetweaks 3.32.0-2
mozilla-common 1.4-6
mpfr 4.0.2-2
mpg123 1.25.13-2
mtdev 1.1.6-1
muffin 4.6.2-1
mugshot 0.4.2-1
mypaint-brushes1 1.3.1-1
mythes-en 20060306-5
nano 4.9.3-1
nasm 2.14.02-2
ncurses 6.2-1
ndctl 68-2
nemo 4.6.3-1
nemo-fileroller 4.6.0-1.1
nemo-preview 4.6.0-1.1
nemo-python 4.6.0-1.1
nemo-share 4.6.0-1.1
neofetch 7.0.0-1
neon 0.31.1-1
net-snmp 5.8-5
net-tools 1.60.20181103git-2
netctl 1.23-1
nettle 3.6-1
network-manager-applet 1.16.0-1
networkmanager 1.24.2-1
networkmanager-openconnect 1.2.6-2
networkmanager-openvpn 1.8.12-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-2
networkmanager-vpnc 1.2.7dev+20+gdca3aea-2
nextcloud 19.0.0-1
nextcloud-client 2.6.4-1
nfs-utils 2.4.3-2
nfsidmap 2.4.3-2
nikto 2.1.6-2
ninja 1.10.0-1
nm-connection-editor 1.16.0-1
nmap 7.80-2
node-gyp 6.1.0-1
node-prune 1.1.0-2
nodejs-lts-erbium 12.17.0-1
notable-bin 1.8.4-5
npm 6.14.5-1
npth 1.6-2
nspr 4.25-1
nss 3.53-1
nss-mdns 0.14.1-3
ntfs-3g 2017.3.23-4
ntp 4.2.8.p14-1
numlockx 1.2-5
nwipe 0.28-1
oath-toolkit 2.6.2-8
ocaml 4.10.0-1
ocaml-compiler-libs 4.10.0-1
ocl-icd 2.2.12-4
oniguruma 6.9.5_rev1-1
opam 2.0.7-2
openal 1.20.1-2
opencl-headers 2:2.2.20170516-3
openconnect 1:8.10-1
opencore-amr 0.1.5-4
openexr 2.5.1-1
openjpeg2 2.3.1-2
openmpi 4.0.3-1
openra 20200503-2
openresolv 3.10.0-1
openssh 8.3p1-1
openssl 1.1.1.g-2
openssl-1.0 1.0.2.u-1
openvpn 2.4.9-2
opus 1.3.1-2
opusfile 0.11-2
orc 0.4.31-2
os-prober 1.77-1
ostree 2020.3-2
otf-crimson-text 1:2019.07-2
p11-kit 0.23.20-5
p7zip 16.02-6
pacman 5.2.1-7
pacman-mirrors 4.16.4-1
pacutils 0.10.0-1
pam 1.3.1-2
pamac-cli 9.5.6-1
pamac-common 9.5.6-1
pamac-gtk 9.5.6-1
pambase 20190105.1-2
pandoc 2.9.2.1-65
pandoc-citeproc 0.17-126
pandoc-crossref 0.3.6.3-12
pango 1:1.44.7+11+g73b46b04-1
pango-perl 1.227-12
pangomm 2.42.1-2
papirus-icon-theme 20200602-1
papirus-maia-icon-theme 20200201-1
parcellite 1.2.1-3
parted 3.3-2
patch 2.7.6-8
patchutils 0.3.4-3
pavucontrol 1:4.0-2
pciutils 3.6.4-1
pcmanfm 1.3.1-2
pcre 8.44-1
pcre2 10.35-1
pcsclite 1.8.26-1
pdfposter 0.7.post1-2
perl 5.30.2-1
perl-alien-build 2.23-1
perl-alien-libxml2 0.16-1
perl-alien-sdl 1.446-9
perl-capture-tiny 0.48-3
perl-class-inspector 1.36-2
perl-clone 0.45-1
perl-compress-bzip2 2.27-1
perl-data-dump 1.23-5
perl-dbi 1.643-1
perl-encode-locale 1.05-6
perl-error 0.17029-1
perl-ffi-checklib 0.27-1
perl-file-chdir 0.1011-3
perl-file-listing 6.04-7
perl-file-sharedir 1.116-3
perl-file-which 1.23-3
perl-html-parser 3.72-9
perl-html-tagset 3.20-9
perl-http-cookies 6.08-2
perl-http-daemon 6.06-1
perl-http-date 6.05-2
perl-http-message 6.24-1
perl-http-negotiate 6.01-7
perl-io-html 1.001-6
perl-io-socket-ssl 2.066-2
perl-ipc-system-simple 1.30-1
perl-json 2.97001-2
perl-libintl-perl 1.31-4
perl-libwww 6.44-1
perl-locale-gettext 1.07-9
perl-log-message 0.08-5
perl-log-message-simple 0.10-5
perl-lwp-mediatypes 6.02-7
perl-lwp-protocol-https 6.07-4
perl-mailtools 2.21-3
perl-net-http 6.19-3
perl-net-ssleay 1.88-1
perl-parse-yapp 1.21-2
perl-path-tiny 0.112-1
perl-sdl 2.548-4
perl-term-readline-gnu 1.36-3
perl-term-ui 0.46-5
perl-tie-simple 1.04-7
perl-timedate 2.33-1
perl-try-tiny 0.30-4
perl-uri 1.76-3
perl-www-robotrules 6.02-7
perl-xml-libxml 2.0205-1
perl-xml-namespacesupport 1.12-4
perl-xml-parser 2.46-1
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-4
perl-xml-sax-expat 0.51-6
perl-xml-simple 2.25-4
perl-xml-writer 0.625-5
phonon-qt5 4.11.1-2
phonon-qt5-gstreamer 4.10.0-2
php 7.4.6-1
php-gd 7.4.6-1
physfs 3.0.2-2
pidgin 2.13.0-10
pidgin-libnotify 0.14-11
pinentry 1.1.0-5
pingus 0.7.6-26
pipewire 0.3.5-1
pix 2.4.9-1
pixman 0.40.0-1
pkcs11-helper 1.26.0-1
pkgconf 1.7.3-1
playonlinux 4.3.4-1
polkit 0.116-5.1
polkit-gnome 0.105-4
polkit-qt5 0.113.0-2
poppler 0.88.0-1
poppler-data 0.4.9-2
poppler-glib 0.88.0-1
poppler-qt5 0.88.0-1
popt 1.16-12
portaudio 1:19.6.0-7
poster 20060221-1
posterazor 1.9.7-1
postgresql-libs 12.3-1
potrace 1.16-2
powerline-common 2.8-1
powerline2 2.8-1
powertop 2.12-1
ppp 2.4.7-7
pptpclient 1.10.0-2
pragha 1.3.4-2
procps-ng 3.3.16-2
protobuf 3.12.0-1
protobuf-c 1.3.3-2
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 13.0-3
pulseaudio-ctl 1.67-1
pulseaudio-equalizer 13.0-3
pulseaudio-jack 13.0-3
pulseaudio-lirc 13.0-3
pulseaudio-zeroconf 13.0-3
putty 0.73-2
puzzles 20200524-1
pygobject-devel 3.36.1-1
pygtk 2.24.0-14
pyobd 0.9.3-2
pysolfc 2.8.0-2
pysolfc-cardsets 2.0-6
python 3.8.3-1
python-apipkg 1.5-3
python-appdirs 1.4.4-1
python-asn1crypto 1.3.0-1
python-atomicwrites 1.4.0-1
python-atspi 2.36.0-1
python-attrs 19.3.0-4
python-automat 20.2.0-2
python-backcall 0.1.0-4
python-beaker 1.11.0-4
python-beautifulsoup4 4.9.1-1
python-bleach 3.1.5-1
python-brotli 1.0.7-3
python-cachecontrol 0.12.6-1
python-cairo 1.19.1-1
python-cffi 1.14.0-3
python-chardet 3.0.4-5
python-click 7.1.2-1
python-colorama 0.4.3-1
python-configobj 5.0.6-7
python-constantly 15.1.0-6
python-contextlib2 0.6.0.post1-1
python-coverage 4.5.4-3
python-cryptography 2.9.2-1
python-dateutil 2.8.1-3
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-decorator 4.4.2-1
python-defusedxml 0.6.0-4
python-distlib 0.3.0-1
python-distro 1.5.0-1
python-distutils-extra 2.39-5
python-docopt 0.6.2-7
python-entrypoints 0.3-3
python-evdev 1.3.0-1
python-execnet 1.7.1-3
python-fontmath 0.6.0-1
python-fonttools 4.11.0-1
python-fs 2.4.11-2
python-geoip 1.3.2-8
python-gobject 3.36.1-1
python-gpgme 1.13.1-7
python-html5lib 1.0.1-7
python-httplib2 0.18.1-1
python-hyperlink 19.0.0-6
python-idna 2.9-1
python-importlib-metadata 1.6.0-1
python-incremental 17.5.0-4
python-iniconfig 1.0.0-4
python-ipykernel 5.3.0-1
python-ipywidgets 7.5.1-4
python-jade-application-kit 3.5.3-1
python-jedi 0.17.0-1
python-jinja 2.11.2-1
python-json5 0.9.5-1
python-jsonschema 3.2.0-2
python-jupyter_client 6.1.3-1
python-jupyter_core 4.6.3-2
python-keyutils 0.6-4
python-lxml 4.5.1-1
python-mako 1.1.3-1
python-markupsafe 1.1.1-4
python-mistune 0.8.4-3
python-more-itertools 8.3.0-1
python-msgpack 1.0.0-1
python-npyscreen 4.10.5-4
python-ordered-set 3.1.1-2
python-packaging 20.4-1
python-pam 1.8.4-4
python-pandocfilters 1.4.2-4
python-parso 0.7.0-1
python-pbr 5.4.5-1
python-pep517 0.8.2-1
python-pexpect 4.8.0-1
python-pickleshare 0.7.5-3
python-pillow 6.2.1-1
python-pip 20.0.2-1
python-pluggy 0.13.1-1
python-ply 3.11-5
python-progress 1.5-3
python-prometheus_client 0.8.0-1
python-prompt_toolkit 3.0.5-1
python-psutil 5.7.0-1
python-ptyprocess 0.6.0-4
python-py 1.8.1-1
python-pyaml 20.4.0-2
python-pyasn1 0.4.8-2
python-pyasn1-modules 0.2.8-1
python-pycparser 2.20-1
python-pycups 2.0.1-1
python-pycurl 7.43.0.5-1
python-pygments 2.6.1-2
python-pyhamcrest 1.9.0-5
python-pyinotify 0.9.6-7
python-pyopenssl 19.1.0-2
python-pyparsing 2.4.7-1
python-pypdf2 1.26.0-5
python-pyqt5 5.15.0-2
python-pyqt5-sip 12.8.0-1
python-pyqtwebengine 5.15.0-2
python-pyrsistent 0.16.0-1
python-pysmbc 1.0.20-1
python-pysocks 1.7.1-1
python-pysol_cards 0.8.18-1
python-pytest 5.4.3-1
python-pytest-cov 2.9.0-1
python-pytest-forked 1.1.3-3
python-pytest-randomly 3.4.0-1
python-pytest-runner 5.2-1
python-pytest-xdist 1.32.0-1
python-pytoml 0.1.21-3
python-pytz 2020.1-1
python-pyxdg 0.26-6
python-pyzmq 19.0.1-1
python-random2 1.0.1-4
python-rencode 1.0.6-3
python-reportlab 3.5.42-1
python-requests 2.23.0-1
python-retrying 1.3.3-7
python-send2trash 1.5.0-4
python-service-identity 18.1.0-4
python-setproctitle 1.1.10-5
python-setuptools 1:47.1.1-1
python-setuptools-scm 4.1.2-1
python-sip 4.19.22-2
python-six 1.15.0-1
python-soupsieve 1.9.5-2
python-terminado 0.8.3-1
python-testpath 0.4.4-1
python-tinycss 0.4-4.1
python-tinycss2 1.0.2-3
python-toml 0.10.1-1
python-tornado 6.0.4-1
python-traitlets 4.3.3-3
python-twisted 20.3.0-1
python-unicodedata2 13.0.0.post2-1
python-urllib3 1.25.9-1
python-wcwidth 0.1.9-1
python-webencodings 0.5.1-4
python-wheel 0.34.2-2
python-xapp 2.0.0-1
python-yaml 5.3.1-1
python-zipp 3.1.0-1
python-zope-interface 5.1.0-1
python-zopfli 0.1.7-1
python2 2.7.18-1
python2-appdirs 1.4.4-1
python2-cairo 1.18.2-4
python2-dbus 1.2.16-1
python2-gobject 3.36.1-1
python2-gobject2 2.28.7-5
python2-gtksourceview2 2.10.1-1
python2-ordered-set 3.1.1-2
python2-packaging 20.4-1
python2-powerline 2.8-1
python2-ptyprocess 0.6.0-4
python2-pyparsing 2.4.7-1
python2-pyserial 3.4-4
python2-setuptools 2:44.1.1-1
python2-six 1.15.0-1
python2-wxpython3 3.0.2.0-2
qbittorrent 4.2.5-1
qownnotes 20.6.8-1
qpdf 10.0.1-1
qrencode 4.0.2-2
qt4 4.8.7-29.1
qt5-base 5.15.0-3
qt5-declarative 5.15.0-1
qt5-location 5.15.0-1
qt5-multimedia 5.15.0-1
qt5-script 5.15.0-1
qt5-speech 5.15.0-1
qt5-styleplugins 5.0.0.20170311-23
qt5-svg 5.15.0-1
qt5-tools 5.15.0-2
qt5-translations 5.15.0-1
qt5-wayland 5.15.0-1
qt5-webchannel 5.15.0-1
qt5-webengine 5.15.0-1
qt5-websockets 5.15.0-1
qt5-x11extras 5.15.0-1
qt5-xmlpatterns 5.15.0-1
qt5ct 0.41-5
qtkeychain 0.10.0-2
qtwebflix-git 0.1.r180.g3fcd5a4-1
qtws-base 0.92-1
raptor 2.0.15-13
rasqal 1:0.9.33-3
re2 1:20200601-1
readline 8.0.004-1
redland 1:1.0.17-8
reiserfsprogs 3.6.27-3
rest 0.8.1-3
rhash 1.3.9-2
ripgrep 12.1.1-1
rpcbind 1.2.5-3
rsync 3.1.3-3
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
ruby 2.7.1-2
ruby-bundler 2.1.4-1
ruby-irb 1.2.4-1
ruby-reline 0.1.4-1
rubygems 3.1.3-1
run-parts 4.8.6.1-2
runc 1.0.0rc10-2
s-nail 14.9.19-1
samba 4.12.3-2
sane 1.0.30-1
sauerbraten 2013_02_03_collect_edition-6
sauerbraten-data 2013_02_03_collect_edition-3
sbc 1.4-2
scantool 2.1-1
scim 1.4.18-3
screenfetch 3.9.1-1
sdl 1.2.15-14
sdl2 2.0.12-1
sdl2_gfx 1:1.0.4-2
sdl2_image 2.0.5-2
sdl2_mixer 2.0.4-4
sdl2_net 1:2.0.1-3
sdl2_ttf 2.0.15-2
sdl_gfx 2.0.26-5
sdl_image 1.2.12-6
sdl_mixer 1.2.12-8
sdl_net 1.2.8-5
sdl_pango 0.1.2-8
sdl_ttf 2.0.11-6
sed 4.8-1
semver 7.3.2-1
serd 0.30.4-1
serf 1.3.9-5
sfml 2.5.1-2
shaderc 2020.0-1
shadow 4.8.1-1
shared-mime-info 2.0+1+g6bf9e4f-2
simple-scan 3.36.3-1
sl 5.02-5
slang 2.3.2-2
slurm 0.4.3-1
smartmontools 7.1-1
smbclient 4.12.3-2
smpeg 0.4.5-5
snapd 2.45-1
snappy 1.1.8-1
solid 5.70.0-1
sonnet 5.70.0-1
sord 0.16.4-1
sound-theme-freedesktop 0.8-4
soundtouch 2.1.2-2
spandsp 0.0.6-3
spectre-meltdown-checker 0.43-1
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2020.2-1
splix 2.0.0-14
sqlite 3.32.2-1
squashfs-tools 4.4-2
squashfuse 0.1.103-3
sratom 0.6.4-1
srt 1.4.1-2
startup-notification 0.12-7
steam-manjaro 1.0.0.62-2
steam-native 1.0.0.62-2
stoken 0.92-4
sublime-text-dev 3.3211-1
subversion 1.14.0-1
sudo 1.9.0-1
suitesparse 5.7.2-1
supertux 0.6.2-1
sysfsutils 2.1.0-11
syslinux 6.04.pre2.r11.gbf6db5b4-3
system-config-printer 1.5.12+33+g23b454ef-1
systemd 245.6-3
systemd-fsck-silent 239-1
systemd-libs 245.6-3
systemd-sysvcompat 245.6-3
t1lib 5.1.2-8
taglib 1.11.1-4
talloc 2.3.1-2
tar 1.32-3
tcl 8.6.10-2
tdb 1.4.3-2
teeworlds 0.7.5-1
terminology-themes-git r107.f807916-1
terminus-font 4.48-1
tetrinet 0.11-8
tevent 1:0.10.2-1
texinfo 6.7-3
texlive-bin 2019.51075-10
texlive-core 2019.52579-1
thin-provisioning-tools 0.8.5-3
thunderbird 68.9.0-1
tilix 1.9.3-8
timeshift 20.03.r8.gad3c01c-1
timezonemap 0.4.5.1-1
tk 8.6.10-2
tlp 1.3.1-2
tor 0.4.3.5-2
torbrowser-launcher 0.3.2-2
torsocks 2.3.0-2
totem-pl-parser 3.26.5-1
tracker 2.3.4-2
transmission-qt 3.00-1
tree 1.8.0-2
trizen 1.63-1
tslib 1.21-2
ttf-bitstream-vera 1.10-13
ttf-comfortaa 3.100-1
ttf-dejavu 2.37-3
ttf-droid 20121017-7.2
ttf-inconsolata 1:3.000-2
ttf-indic-otf 0.2-9
ttf-liberation 2.1.0-1
ttf-webhostinghub-glyphs 1.0-8
tty-clock 2.3-1
twolame 0.4.0-2
tzdata 2020a-1
udiskie 2.2.0-1
udisks2 2.9.0-1
ufw 0.36-3
unzip 6.0-14
upower 0.99.11-2
usbmuxd 1.1.0+69+g8a69f1a-1
usbutils 012-2
util-linux 2.35.2-1.1
v4l-utils 1.20.0-1
v86d 0.1.10-5.1
variety 0.8.3-1
vcdimager 2.0.1-3
veracrypt 1.24.update4-1
vi 1:070224-4
vid.stab 1.1-3
virtualbox 6.1.8-2
virtualbox-ext-oracle 6.1.10-1
virtualbox-host-dkms 6.1.8-2
vlc 3.0.10-2
vmaf 1.5.1-1
vmware-keymaps 1.0-1
vmware-workstation 15.5.6-1
volume_key 0.3.12-3
vpnc 1:0.5.3.r468.r81-1
vscodium-bin 1.46.0-1
vte-common 0.60.3-1
vte3 0.60.3-1
vulkan-icd-loader 1.2.141-1
vulkan-intel 20.0.7-3
vulkan-radeon 20.0.7-3
warsow 2.1.2-2
warzone2100 3.3.0-2
wavpack 5.3.0-1
wayland 1.18.0-2
wayland-protocols 1.20-1
webkit2gtk 2.28.2-2
webrtc-audio-processing 0.3.1-2
wesnoth 1:1.14.12-1
wget 1.20.3-3
which 2.21-5
whois 5.5.6-1
widelands 20-9
wildmidi 0.4.3-2
wine 5.9-1
wine-gecko 2.47.1-1
wine-gecko-2.47 2.47-1
wine-gecko-bin 2.47.1-1
wine-installer 5.0.2-1
wine-mono 5.0.0-1
wine-mono-gecko-version-fix 1.0.0-1
winetricks 20200412-1
wireless-regdb 2019.06.03-2
wireless_tools 30.pre9-3
woff2 1.0.2-3
wpa_supplicant 2:2.9-7
wpebackend-fdo 1.6.0-1
wxgtk-common 3.0.5.1-1
wxgtk3 3.0.5.1-1
x264 3:0.159.r2999.296494a-1
x265 3.3-1
xapps 1.8.7-1
xbitmaps 1.1.2-2
xcb-proto 1.14-1
xcb-util 0.4.0-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcursor-breeze 5.11.5-1
xcursor-chameleon-pearl-deepin 0.5-5
xdg-dbus-proxy 0.1.2-2
xdg-desktop-portal 1.7.2-1
xdg-desktop-portal-gtk 1.7.1-1
xdg-su 1.2.3-1
xdg-user-dirs 0.17-3
xdg-user-dirs-gtk 0.10+9+g5b7efc6-3
xdg-utils 1.1.3+19+g9816ebb-1
xdman 2020.7.2.11-2
xdotool 3.20160805.1-2
xed 2.6.0-1
xf86-input-elographics 1.4.2-2
xf86-input-evdev 2.10.6-2
xf86-input-libinput 0.30.0-1
xf86-input-void 1.4.1-5
xf86-video-amdgpu 19.1.0-2
xf86-video-ati 1:19.1.0-2
xf86-video-intel 1:2.99.917+908+g7181c5a4-1
xf86-video-nouveau 1.0.16-2
xfsprogs 5.6.0-2
xkeyboard-config 2.30-1
xmlsec 1.2.30-2
xonotic 0.8.2-5
xonotic-data 0.8.2-3
xorg-bdftopcf 1.1-2
xorg-font-util 1.3.2-2
xorg-font-utils 7.6-6
xorg-fonts-alias 1.0.3-3
xorg-fonts-encodings 1.0.5-2
xorg-luit 1.1.1-4
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.8-3
xorg-server-common 1.20.8-3
xorg-setxkbmap 1.3.2-2
xorg-twm 1.0.10-2
xorg-xauth 1.1-2
xorg-xdpyinfo 1.3.2-4
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-2
xorg-xkbcomp 1.4.3-1
xorg-xkill 1.0.5-2
xorg-xmessage 1.0.5-2
xorg-xmodmap 1.0.10-2
xorg-xprop 1.2.4-2
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.0-2
xorg-xset 1.2.4-2
xorgproto 2020.1-1
xpdf 4.02-1
xplayer 2.2.6-1
xplayer-plparser 1.0.2-2
xreader 2.6.2-1
xterm 356-1
xvidcore 1.3.7-2
xviewer 2.6.0-2
xviewer-plugins 1.2.0.r1.gba9ce0f-1
xz 5.2.5-1
yad 6.0-1
yarn 1.22.4-1
yay 9.4.7-2
yelp 3.36.0-1
yelp-xsl 3.36.0-1
zbar 0.23.1-1
zenity 3.32.0+17+gfb0938f-2
zensu 0.1-1
zeromq 4.3.2-1
zettlr-bin 1.6.0-3
zint 2.8.0-1
zip 3.0-9
zita-alsa-pcmi 0.3.2-3
zita-resampler 1.6.2-3
zlib 1:1.2.11-4
zsh 5.8-1
zsh-autosuggestions 0.6.4-1
zsh-completions 0.32.0-1
zsh-history-substring-search 1.0.2-1
zsh-syntax-highlighting 0.7.1-1
zstd 1.4.5-1
zvbi 0.2.35-4
zziplib 0.13.71-1
