0ad a23.1-10
gd 2.3.0-1
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-2
geeqie 1.5.1-2
gegl 0.4.22-3
gendesk 1.0.5-2
geoclue 2.5.6-1
geocode-glib 3.26.2-1
geoip 1.6.12-2
geoip-database 20200519-1
gettext 0.20.2-1
ghc-libs 8.10.1-2
ghostscript 9.52-1
giflib 5.2.1-2
gimp 2.10.18-8
git 2.27.0-1
glabels-qt-git r561.142aaf2-1
glew 2.2.0-2
glew1.10 1.10.0-2
glib-networking 2.64.3-1
glib-perl 1.329-3
glib2 2.64.3-2
glibc 2.31-5
glibmm 2.64.2-1
gloox 1.0.23-1
glslang 8.13.3743-1
glu 9.0.1-2
glyr 1.0.10-2
gmime 2.6.23+4+g91dcee38-3
gmp 6.2.0-1
gnome-desktop 1:3.36.2-1
gnome-disk-utility 3.36.1-2
gnome-keyring 1:3.36.0-1
gnome-online-accounts 3.36.0-1
gnome-screenshot 3.36.0-1
gnome-system-log 3.9.90+160+g4b07190-2
gnome-system-monitor 3.36.1-1
gnome-terminal 3.36.2-1
gnome-themes-extra 3.28-2
gnu-free-fonts 20120503-8
gnu-netcat 0.7.1-8
gnupg 2.2.20-4
gnutls 3.6.14-1
go 2:1.14.4-1
gobject-introspection-runtime 1.64.1-2
google-chrome 83.0.4103.116-1
google-drive-ocamlfuse-opam 0.7.22-1
google-photos-desktop 0.9-1
gparted 1.1.0-1
gpgme 1.13.1-7
gpm 1.20.7.r27.g1fd1941-2
gpmdp 4.7.1-2
gprename 20190221-1
gptfdisk 1.0.5-1
graphene 1.10.0-2
graphite 1:1.3.14-1
grep 3.4-1
groff 1.22.4-3
grsync 1.2.8-1
grub 2.04-10
grub-customizer 5.1.0-1
grub-theme-manjaro-dev 18.0-3
gsettings-desktop-schemas 3.36.1-1
gsfonts 20180524-3
gsm 1.0.19-1
gspell 1.8.3-1
gssdp 1.2.2-1
gssproxy 0.8.3-1
gst-libav 1.16.2-2
gst-plugins-bad 1.16.2-11
gst-plugins-bad-libs 1.16.2-11
gst-plugins-base 1.16.2-2
gst-plugins-base-libs 1.16.2-2
gst-plugins-good 1.16.2-3
gst-plugins-ugly 1.16.2-3
gstreamer 1.16.2-2
gtest 1.8.1-3
gtk-update-icon-cache 1:3.24.20-1
gtk2 2.24.32-2
gtk2-perl 1.24993-1
gtk3 1:3.24.20-1
gtkd 3.9.0-7
gtkhash 1.3-1
